Model,Accuracy,Precision,Recall,F1-Score
Support Vector Machine,0.9395,0.9396270522180911,0.9395,0.9394956285591634
Decision Tree,0.929,0.9290617848970252,0.929,0.9289974439079807
Naive Bayes,0.926,0.9260835123684242,0.926,0.9259963738223174
